Time,Bandwidth,Port,Distance
4.7,1.800,38586,9.167
6.4,1.300,38588,18.334
5.5,1.510,38590,27.501
12.9,0.650,38592,36.668
10.1,0.832,38594,45.835
6.0,1.410,38596,55.002
9.9,0.846,38598,64.169
8.9,0.946,38600,73.336
15.1,0.555,38602,82.503
17.9,0.469,38604,91.670
12.7,0.660,38606,100.837
11.4,0.733,38608,110.004
11.2,0.751,38610,119.171
16.9,0.497,38612,128.338
16.9,0.496,38614,137.505
45.2,0.185,38616,146.672
93.2,0.090,38618,155.839
36.9,0.227,38620,165.006
42.9,0.195,38622,174.173
84.4,0.099,38624,183.340
89.4,0.094,38626,192.507
98.3,0.085,38630,201.674
70.8,0.118,38634,220.008
175.0,0.048,38636,229.175
