Time (s),Bandwidth (Mb/s),Jitter (ms),Packet Loss,Port,Out-of-Order,Distance (ft)
12.6,0.659,38.615,1.10%,35561,0,9.167
10.6,0.790,20.496,0.14%,58956,0,18.334
10.5,0.794,19.433,0.28%,43030,0,27.501
14.4,0.573,39.419,1.40%,53099,1,36.668
9.0,0.933,19.629,0.00%,53631,0,45.835
11.6,0.722,15.091,0.00%,50118,1,55.002
12.2,0.690,21.735,0.00%,58894,1,64.169
8.0,1.040,7.756,0.00%,37332,0,73.336
19.3,0.429,267.046,1.10%,52715,1,82.503
17.0,0.492,47.802,0.28%,50833,1,91.670
11.1,0.755,13.436,0.14%,56178,0,100.837
25.1,0.331,49.627,1.10%,36464,0,110.004
9.0,0.932,8.564,0.00%,40977,0,119.171
8.1,1.030,9.369,0.14%,42082,0,128.338
12.2,0.309,51.520,55.00%,47383,0,137.505
16.2,0.517,25.537,0.14%,49256,0,146.672
15.5,0.398,47.280,27.00%,47451,1,155.839
20.7,0.401,41.069,0.84%,45930,1,165.006
33.2,0.200,317.085,21.00%,43820,1,174.173
30.7,0.269,23.606,1.40%,53363,1,183.340
34.8,0.239,116.448,0.98%,36359,1,192.507
20.2,0.409,23.647,1.40%,33395,1,201.674
16.5,0.506,45.127,0.42%,60055,1,210.841
27.3,0.303,99.809,1.40%,49324,1,220.008
39.1,0.208,394.172,2.90%,39330,1,229.175
37.9,0.217,248.831,2.10%,33201,1,238.342
49.1,0.035,511.311,69.00%,48690,0,247.509
